d_num|resolution|response
84|The European Parliament Condemns the recent visit of the Hungarian Prime Minister Viktor Orbán to the Russian Federation; stresses that during this visit, he did not represent the EU, and considers the visit to be a blatant violation of the EU’s Treaties and common foreign policy, including the principle of sincere cooperation; underlines that the Hungarian Prime Minister cannot claim to represent the EU when violating common EU positions; considers that this violation should be met with repercussions for Hungary; recalls that in the immediate aftermath of the Hungarian Prime Minister’s so-called peace mission, Russia attacked the Ohmatdyt children’s hospital in Kyiv, showing the irrelevance of his alleged efforts, which have been met with scepticism from the Ukrainian leadership; reiterates its support for the Peace Formula presented by Ukraine’s President, Volodymyr Zelenskyy; deplores the fact that Hungary has abused its veto power in the Council to prevent essential aid from being granted to Ukraine; urges Hungary to lift its blockade of the European Peace Facility funding for Ukraine, including the agreed reimbursement for Member States for military assistance already delivered;| Agree
85|The European Parliament Recalls that Russia’s war of aggression against Ukraine is part of a broader set of objectives against the West, against our democracy and our values; welcomes the outcome of the NATO Summit and reiterates its belief that Ukraine is on an irreversible path to NATO membership; calls for the EU and its Member States to increase their military support to Ukraine for as long as necessary and in whatever form necessary; reiterates its previous position that all EU Member States and NATO allies should collectively and individually commit to supporting Ukraine militarily with no less than 0,25 % of their GDP annually; calls on the Member States to further expand training operations for the Ukrainian Armed Forces such as EUMAM Ukraine, with a view to further increasing their operational capabilities; underlines that insufficient or delayed deliveries of weapons and ammunition risk offsetting the efforts made so far and therefore urges the Member States to substantially increase and significantly accelerate their military support and boost the capacity of their military industries; strongly advocates for the removal of restrictions on the use of Western weapons systems delivered to Ukraine against military targets on Russian territory; welcomes the decision by NATO guaranteeing military supplies worth at least EUR 40 billion in the near future;| Agree
86|The European Parliament Condemns the recent barbaric attack on the Ohmatdyt children’s hospital in Kyiv; expresses its full solidarity with and condolences to the families of the victims; recalls the documented occurrences of torture, rape and the abduction of children; calls for the EU and its Member States to actively support efforts towards ensuring accountability for war crimes within existing international courts and institutions, as well as for the crime of aggression, through the establishment of a special international tribunal, among other methods; reiterates its firm conviction that Russia must provide financial compensation for the massive damage it has caused in Ukraine; welcomes, therefore, the recent decision of the Council to direct extraordinary revenues stemming from immobilised Russian assets to support the Ukrainian war effort, as well as the G7 decision to offer Ukraine a USD 50 billion loan secured through immobilised Russian state assets; calls for the EU to establish a sound legal regime for the confiscation of Russian state-owned assets frozen by the EU;| Strongly Agree
87|The European Parliament Condemns the increasing number of hybrid attacks carried out by Russia against the EU and its Member States with the aim of weakening European support for Ukraine using information manipulation, covert destabilisation attempts and corruption of political figures; is appalled by reports that an assassination attempt was plotted by Russia against the CEO of a European defence company;| Strongly Agree
88|The European Parliament Calls on the Commission to propose long-term financial assistance for the reconstruction of Ukraine, building on the experience of the newly established Ukraine Facility;| Agree
89|The European Parliament Calls on the Council to maintain and extend its sanctions policy against Russia and Belarus while monitoring, reviewing and enhancing its effectiveness and impact; calls on the Council to systematically tackle the issue of sanctions circumvention by EU-based companies, third parties and third states and to adopt and strictly implement restrictive measures against all entities facilitating the circumvention of sanctions and providing the Russian military complex with military and dual-use technologies and equipment;| Agree
90|The European Parliament Instructs its President to forward this resolution to the Council, the Commission, the Vice-President of the Commission / High Representative of the Union for Foreign Affairs and Security Policy, the governments and parliaments of the Member States, the President, Government and Verkhovna Rada of Ukraine, the President, Government and Parliament of Moldova, the Secretary-General of the United Nations and the Russian authorities TEXTS ADOPTED P9_TA(2024)0379 Russia's undemocratic presidential elections and their illegitimate extension to the occupied territories PE762.564 European Parliament resolution of 25 April 2024 on Russia’s undemocratic presidential elections and their illegitimate extension to the occupied territories (2024/2665(RSP)) The European Parliament, –	having regard to its previous resolutions on Russia and on Ukraine, –	having regard to the Constitution of the Russian Federation and to the international human rights obligations to which Russia has committed itself as a member of the Council of Europe and the Organization for Security and Co-operation in Europe (OSCE), –	having regard to the European Convention for the Protection of Human Rights and Fundamental Freedoms, –	having regard to the International Covenant on Civil and Political Rights, –	having regard to the 1990 OSCE Copenhagen Document, –	having regard to the Rome Statute of the International Criminal Court, –	having regard to UN General Assembly Resolution ES-11/4 of 12 October 2022 entitled ‘Territorial integrity of Ukraine: defending the principles of the Charter of the United Nations’ and UN General Assembly Resolution 68/262 of 27 March 2014 entitled ‘Territorial integrity of Ukraine’, –	having regard to the statement of 17 June 2023 by the European External Action Service Spokesperson on intentions to hold ‘elections’ in occupied territories of Ukraine, –	having regard to the statement of 29 January 2024 of the OSCE Office for Democratic Institutions and Human Rights (ODIHR) on the decision of the Russian Federation not to invite the OSCE to observe the Russian presidential election, –	having regard to the statement of 18 March 2024 by the High Representative of the Union for Foreign Affairs and Security Policy on behalf of the EU on Russian presidential elections and their non-applicability on Ukrainian territory, –	having regard to the statement of 18 March 2024 by the President of the Parliamentary Assembly of the Council of Europe, Theodoros Rousopoulos, on the presidential ‘election’ in Russia, –	having regard to the report of the UN Special Rapporteur on the situation of human rights in the Russian Federation, Mariana Katzarova, of 15 September 2023 entitled ‘Situation of human rights in the Russian Federation’, –	having regard to Opinion No 992/2020 of 23 March 2021 of the European Commission for Democracy through Law (Venice Commission) on constitutional amendments and the procedure for their adoption in the Russian Federation, –	having regard to Resolution 2519 (2023) of the Parliamentary Assembly of the Council of Europe of 13 October 2023 entitled ‘Examining the legitimacy and legality of the ad hominem term-limit waiver for the incumbent President of the Russian Federation and to its report No 15827, of 22 September 2023 and of the same title, on which it was based, –	having regard to Resolution 2540 (2024) of the Parliamentary Assembly of the Council of Europe of 17 April 2024 entitled ‘Alexei Navalny’s death and the need to counter Vladimir Putin’s totalitarian regime and its war on democracy’, –	having regard to the report by the European Union Agency for Fundamental Rights of 11 July 2023 entitled ‘Protecting Human Rights Defenders at Risk: EU entry, stay and support’, –	having regard to Article 28 of the UN Convention relating to the Status of Stateless Persons, –	having regard to Rule 132(2) and (4) of its Rules of Procedure, A.	whereas all OSCE participating states, including the Russian Federation, have agreed that the will of the people, freely and fairly expressed through genuine and periodic elections, is the basis of the authority and legitimacy of government; B.	whereas OSCE participating states have committed themselves to respecting a number of principles, such as those defined in the 1990 Copenhagen Document, to ensure, inter alia, that electoral campaigning can be conducted in an open and fair atmosphere without violence, intimidation or fear of retribution against candidates, parties or voters, and to ensure that votes are cast by secret ballot and counted and reported honestly; C.	whereas the so-called presidential election held by Russia from 15 to 17 March 2024 was conducted without any political competition, in a severely restricted environment of systemic and grave repression and during the Russian Federation’s illegal war of aggression against Ukraine; whereas there were reports of voters being intimidated, voters being denied their right to vote, ballot boxes being stuffed, protocols from the precincts being falsified on a massive scale and independent domestic election observers being detained; whereas Russia illegally organised voting in the occupied Ukrainian territories of Crimea, Donetsk, Kherson, Luhansk and Zaporizhzhia, at times amid violence and threats by armed Russian soldiers; whereas Russia also has a record of organising illegal voting in Abkhazia and South Ossetia and in Transnistria, against the will of the Georgian and Moldovan authorities; D.	whereas the Russian authorities did not invite OSCE/ODIHR to observe its election, which runs contrary to Russia’s commitments and obligations as an OSCE participating state; whereas this was the second Russian election in a row to have been held without impartial and independent international election observers in the country; E.	whereas the Central Electoral Commission of the Russian Federation unreasonably refused to register as candidates any politicians critical of the regime or of the war of aggression, including some who had reportedly collected more than 100 000 signatures, as prescribed by the national legislation; F.	whereas Alexei Navalny, the most powerful figure in the democratic opposition and the 2021 laureate of the Sakharov Prize for Freedom of Thought, was murdered in a Siberian penal colony on 16 February 2024, just weeks before the so-called presidential election; whereas Navalny had been serving an unfounded, politically motivated prison sentence; whereas the full responsibility for his murder lies with the Russian state and with its president Vladimir Putin in particular; G.	whereas Russia’s 1993 Constitution limited the president to two consecutive terms of office, but Vladimir Putin has been in power continuously since 2000, finding different ways to circumvent this limit; whereas the sham referendum of 2020 cannot be perceived as valid and was enacted in violation of the laws and international commitments of the Russian Federation; whereas the renewed presidential term of Vladimir Putin is viewed as unconstitutional by numerous experts; whereas since 2022, the Kremlin regime has implemented various restrictive election monitoring laws, while supporters of opposition parties are routinely targeted, detained and often charged, largely under the new law passed in February 2024 permitting property and asset confiscation for any individual criticising the war in Ukraine; H.	whereas Russia’s authoritarian regime has used such increasingly fraudulent and farcical so-called elections for decades to provide a semblance of democracy in order to continue to concentrate all power in the hands of Vladimir Putin; whereas the government suppresses any dissent with the support of loyalist security forces, a subservient judiciary, a state-controlled media environment ensuring a continuous flood of propaganda and disinformation, and a legislature consisting of a ruling party and pliable opposition factions; I.	whereas the other candidates running in this sham election were representatives of the Communist Party of the Russian Federation (CPRF), New People, and the Liberal Democratic Party of Russia (LDPR), and are currently under EU and US sanctions because of their support for the war in Ukraine; J.	whereas Putin’s ‘electoral victory’ with 87 % of the vote, a clearly inconceivable number for a free and fair election, derived from a clearly manipulated outcome from polling stations throughout Russia, from Adygea to Yamalo-Nenets; whereas this shows the cavalier and flagrant manner in which elections are misused by the Putin regime to continue into its 24th year in power; K.	whereas since the start of Russia’s full-scale invasion of Ukraine in 2022, the Russian authorities have increased their repression of political opposition, the media, civil society and the LGBTIQ community by curtailing rights and individual liberties even further to stifle domestic dissent; L.	whereas many Russian voters bravely expressed their anger at and opposition to the Kremlin regime and the farce it presented as an election by engaging in acts of resistance at polling stations; whereas crowds descended on polling places at noon on the final day of the so-called election in support of the ‘noon against Putin’ demonstration that Alexei Navalny had also called for before he was murdered in prison after being subjected to torture and inhumane treatment; M.	whereas the Kremlin regime has decimated a generation of Russian civil society, democratic political opposition, and human rights organisations, including Memorial and the Moscow Helsinki Group; whereas the number of political prisoners in Russia, estimated to be at least 1 000, exceeds levels seen even during the late Soviet period, and there has been a significant increase in the number of individuals detained for criticising Putin’s policies, particularly concerning the war in Ukraine; whereas according to the Committee to Protect Journalists, Russia is holding at least 22 journalists in prison; N.	whereas the EU has frequently expressed its unequivocal solidarity with all those dissidents and the Russian people, who, despite the threat to their freedom and their lives and the pressure from the Kremlin and the Russian authorities, continue to fight for freedom, human rights and democracy; whereas the EU hosts a variety of Russian dissidents and representatives of the media and civil society who were forced to leave Russia as their criticism of the government put them at significant risk of retaliation from the authorities; O.	whereas the UN Special Rapporteur on the situation of human rights in the Russian Federation has concluded that there is no longer any safe space for civic action or political opposition within Russia; P.	whereas the Venice Commission, in its Opinion No 992/2020, concluded that the speed of the preparation of the 2020 constitutional amendments was clearly inappropriate, that the hastily adopted 2020 amendments to the Constitution of Russia have disproportionately strengthened the position of the president and that the ad hominem exclusion from the term limits of the current and previous presidents contradicts the very logic of the adopted amendment limiting the president’s mandate to two terms; Q.	whereas, in its Resolutions 2519 (2023) and 2540 (2024), the Parliamentary Assembly of the Council of Europe called on European governments to recognise Vladimir Putin as illegitimate after the end of his current presidential term and to cease all contact with him, except for humanitarian purposes and in the pursuit of peace; R.	whereas, in its 2021 recommendation on the direction of EU-Russia political relations, Parliament concluded that the constitutional changes implemented in June 2020 were illegal, as did the Parliamentary Assembly of the Council of Europe in its Resolution 2519 (2023); S.	whereas the Russian Federation has been carrying out an illegal, unprovoked and unjustified war of aggression against Ukraine since 24 February 2022; whereas this war of aggression constitutes a blatant and flagrant violation of the UN Charter and of the fundamental principles of international law; T.	whereas on 17 March 2023, the International Criminal Court issued an arrest warrant for Vladimir Putin in view of his responsibility for the war crime of unlawful deportation and transfer of Ukrainian children during Russia’s war of aggression against Ukraine;| Strongly Agree
91|The European Parliament Strongly denounces all electoral violations committed by the regime of Vladimir Putin during the so-called Russian presidential election of 15 to 17 March 2024, as well as the preceding long-standing and systemic repression and violations of civil and political rights; underlines that Russia’s so-called presidential election was held in a climate of fear and repression and in the context of an illegal, unprovoked and unjustified war of aggression against Ukraine; notes that during the so-called presidential election, there were no genuine alternative candidates, no free media, no credible observers and no political freedoms; concludes that the so-called presidential election in Russia was illegitimate and undemocratic;| Strongly Agree
92|The European Parliament Concludes that this farcical performance by the Russian authorities had the single goal of creating the appearance of electoral legitimacy for Vladimir Putin, his policy of relentless domestic repression and, most of all, the war of aggression against Ukraine;| Strongly Disagree
93|The European Parliament Unequivocally condemns the illegal so-called election conducted in the territories of Ukraine that Russia has temporarily occupied, namely the Autonomous Republic of Crimea, the City of Sevastopol and parts of the Donetsk, Luhansk, Zaporizhzhia and Kherson regions; stresses that holding an election in these territories constitutes a clear breach of Ukrainian sovereignty and a distinct violation of international law, in particular the UN Charter; deplores the use of the threat of violence by the Russian authorities, as people were forced to vote in the presence of armed Russian soldiers; reiterates that, as stated by the High Representative on behalf of the EU, the EU will not recognise the holding of this so-called election in the territories of Ukraine or its outcome; calls for EU restrictive measures against those involved in the organisation and execution of the illegal polls;| Strongly Agree
94|The European Parliament Underlines that the refusal to allow independent international observation of the Russian presidential election, in accordance with Russia’s international commitments as an OSCE participating state, points to an unprecedented degree of democratic backsliding and a critical lack of willingness to honour international commitments and respect established principles of cooperation within international institutions; stresses that the decision of the Russian authorities not to invite the OSCE/ODIHR election observation mission to observe the election shows that they want to deny voters an impartial and independent assessment of the election;| Strongly Agree
95|The European Parliament Urges the Member States of the European Union and the international community not to recognise the outcome of the Russian presidential election as legitimate, as it was held in the illegally occupied territories of Ukraine, and, even within Russia, was neither free nor fair, did not meet the basic international electoral standards, and thus lacked democratic legitimacy, and urges to limit relations with Putin to matters necessary for regional peace as well as humanitarian and human rights purposes, for example prisoner exchanges, the return of deported children to Ukraine or calling on the release of political prisoners;| Strongly Agree
112|The European Parliament Calls for the immediate and unconditional release of all hostages who have been taken by the terrorist group Hamas and for the bodies of deceased hostages to be returned; recalls that the taking of hostages is a violation of international law and constitutes a war crime;| Strongly Agree
113|The European Parliament Expresses its deepest sorrow and full solidarity with the innocent victims on both sides, their families and loved ones;| Agree
114|The European Parliament Calls for those responsible for terrorist acts and for violations of international law to be held to account; reiterates the EU’s strong support for the International Criminal Court’s work;| Strongly Agree
115|The European Parliament Recognises Israel’s right to self-defence, as enshrined in and constrained by international law, and emphasises that the actions of Israel must therefore strictly comply with international humanitarian law; underlines that the attacks by the terrorist group Hamas and the Israeli response risk leading to an intensified cycle of violence in the region;| Agree
116|The European Parliament Underlines the importance of differentiating between the Palestinian people and their legitimate aspirations on the one hand, and the Hamas terrorist organisation and its acts of terror on the other hand;| Agree
117|The European Parliament Is very concerned about the rapidly deteriorating humanitarian situation in the Gaza Strip, where approximately half of the population are children; calls for opening channels for providing humanitarian aid to civilians in the Gaza Strip and for these to be kept permanently open; urges the international community to continue and increase its humanitarian assistance to the civilian population in the area; reiterates that the EU must continue delivering humanitarian aid to them; urges Egypt and Israel to cooperate with the international community to establish humanitarian corridors to the Gaza Strip;| Agree
118|The European Parliament Deeply regrets and mourns the loss of hundreds of innocent lives and those injured at the Al-Ahli hospital blast; calls for an independent investigation under international law to establish whether this was a deliberate attack, and thus a war crime; calls for the perpetrators to be held accountable;| Strongly Agree
119|The European Parliament Calls on all parties to take the necessary steps to bring about a fundamental change to the political, security and economic situation in the Gaza Strip, including fully re-opening crossing points, while addressing Israel’s legitimate security concerns;| Agree
120|The European Parliament Condemns the rocket attacks launched from Lebanon and Syria into Israel; calls on Hezbollah and Palestinian militant groups in these countries to abstain from any act of aggression against Israel; calls, further, for the de-escalation of tensions in East Jerusalem and the West Bank;| Agree
121|The European Parliament Calls for a humanitarian pause, de-escalation and full respect of international humanitarian law; recalls the necessity of finding a peaceful solution to the conflict; stresses that attacking civilians, including UN workers, medical workers and journalists, and civilian infrastructure is a serious violation of international law;| Strongly Agree
122|The European Parliament Calls on the Commission and the Council to promptly initiate de-escalation measures aimed at averting the potential escalation of current tensions along the Israeli-Lebanese border into a full-scale conflict;| Agree
123|The European Parliament Condemns, in the strongest possible terms, Iran’s support to the terrorist group Hamas and other terrorist groups in the Gaza Strip, and condemns Iran’s destabilising role in the region through its actions to incite violence and escalate the conflict, as well as its support to its proxy Hezbollah in the context of the attacks; reiterates its call to include the entirety of the Islamic Revolutionary Guard Corps and Hezbollah on the EU list of terrorist organisations and calls for a thorough investigation into the role of Iran, as well as other countries such as Qatar and Russia, in financing and supporting terrorism in the region;| Strongly Agree
124|The European Parliament Reiterates its unwavering support for a negotiated two-state solution on the basis of the 1967 lines with two sovereign, democratic states living side by side in peace and guaranteed security, with Jerusalem as the capital of both states, and in full respect of international law; encourages the European External Action Service and the Member States to draw up a European initiative to put the two-state solution back on track; emphasises the absolute necessity of immediately relaunching the peace process;| Agree
125|The European Parliament Calls on the High Representative of the Union for Foreign Affairs and Security Policy and the EU Member States to continue to undertake urgent diplomatic action to address the situation with partners in the region and international partners, including at the UN Security Council, and to try their utmost to bring the parties to the table to address the situation in the region and work on resolving the root causes of the conflict;| Agree
126|The European Parliament Underlines that uncoordinated statements and actions by various representatives of the EU led to an inconsistent approach towards the conflict; insists that the Commission and the Council must address the situation in a coordinated manner and with one voice to enable the EU to live up to its geopolitical ambitions;| Agree
127|The European Parliament Urges the Commission to initiate a thorough review of all EU financial assistance to Palestine and the region in order to ensure that no EU funds directly or indirectly finance any terrorist organisation; underlines that the EU budget must continue to provide support for building peace and stability in the region, combating hate and fundamentalism and promoting human rights; calls on the Commission to provide the results to Parliament in its role as the budgetary authority as soon as possible; underscores that the humanitarian situation in the region is expected to worsen and calls on the Commission to reassess humanitarian aid needs in the region to ensure that EU funding continues to reach those in need of assistance;| Agree
64|The European Parliament Calls for the EU and its Member States to ensure that all necessary assistance is provided to the Republic of Moldova to strengthen its institutional mechanisms and its ability to respond to hybrid threats; calls for increased EU support for Moldova in countering disinformation, hybrid threats and cyberattacks; underlines that this should entail boosting Moldova’s capacity to combat disinformation, strengthen its cybersecurity infrastructure and enhance resilience against external malign influences; emphasises the particular importance of countering false Russian narratives, while underscoring their malign interference in the Republic of Moldova and the ways in which they are used to justify Russia’s war of aggression against Ukraine;| Agree
65|The European Parliament Calls on the Council to adopt additional targeted sanctions listings against individuals and entities responsible for supporting or carrying out actions which undermine or threaten the Republic of Moldova’s sovereignty and independence, as well as the country’s democracy, stability or security, and the rule of law; calls for the EU and national authorities to make sure those sanctions are duly implemented; reiterates its call on the respective hosting states and territories to extradite Ilan Shor, Vladimir Plahotniuc and other individuals sought for trial in the Republic of Moldova;|" Strongly Agree

The resolution is calling for sanctions against individuals and entities that are responsible for undermining or threatening the sovereignty, independence, democracy, stability, and security of the Republic of Moldova, as well as the rule of law. It also urges the EU and national authorities to ensure that these sanctions are implemented, and reiterates its call for the respective hosting states and territories to extradite individuals sought for trial in the Republic of Moldova. These actions can be seen as fair, as they aim to hold accountable those who are responsible for destabilizing the"
66|The European Parliament Highlights the important role played by EUPM Moldova; calls for the EU and its Member States to ensure that EUPM Moldova performs to the best of its ability, taking stock of progress and adapting its operations if necessary to make it as efficient as possible, while proposing to further extend its mandate beyond May 2025, adapt its scope and increase the mission’s resources; calls for the EU and its Member States to increase their support for Moldova’s Center for Strategic Communication and Combating Disinformation; calls on the Commission to report on the results of the EU support package for Moldova of June 2023, particularly the stated aim of countering foreign information manipulation and interference, and building capacity for independent media, civil society and youth;| Agree
67|The European Parliament Applauds the Republic of Moldova’s steadfast support for Ukraine since the start of Russia’s war of aggression; commends the Republic of Moldova for welcoming 1,5 million Ukrainian refugees throughout the war, of which an estimated 125 000 remain in the country; calls for the EU and its Member States to ensure continued support for Moldova and its people in addressing the challenges facing the country as a consequence of Russia’s war of aggression against Ukraine, including large numbers of refugees, inflation, threats to its energy supplies and violations of its airspace;| Agree
68|The European Parliament Reaffirms its commitment to the Republic of Moldova’s future membership of the EU; believes that its membership in the EU would constitute a mutually beneficial investment in a united and strong Europe; welcomes the widespread support in the Republic of Moldova for its European integration; stresses that the Republic of Moldova’s European integration represents not only a path towards greater economic prosperity, but also a safeguard for political stability and security in the face of external threats;| Strongly Agree
69|The European Parliament Calls for the acceleration of the screening process and the timely organisation of subsequent intergovernmental conferences, where negotiations on Cluster 1 on Fundamentals should be initiated; calls for the EU to adequately support accession-related reforms by developing robust and adaptable financial instruments tailored to the Republic of Moldova’s specific needs with a view to effectively addressing its economic and structural challenges, and ensuring the country remains resilient and capable of implementing the necessary reforms throughout its EU accession process; urges the acceleration of Moldova’s gradual integration into the EU and the single market by allowing participation in new initiatives and EU programmes, which will deliver tangible socio-economic benefits in specific areas even before the country formally joins the EU; reiterates its call, in this regard, for the EU to take swift and significant steps towards the permanent liberalisation of its tariff-rate quotas;| Agree
70|The European Parliament Calls for more consistent support for the Republic of Moldova in its EU accession process, including increased technical assistance by sending additional EU advisors to the Moldovan authorities, as a contribution to strengthening capacity-building;| Agree
71|The European Parliament Calls for the adoption of a new growth plan for the Republic of Moldova so as to adequately finance and support Moldova in achieving economic convergence with the EU; believes that this plan should finance investments in infrastructure, human capital and the digital and green transitions, facilitating sustainable economic growth; calls for the full integration of the Republic of Moldova into the ‘Roam Like at Home’ initiative by the end of 2025;| Agree
72|The European Parliament Calls on the Commission, in this regard, to include the Republic of Moldova in the Instrument for Pre-accession Assistance and to prioritise funding for candidate countries in its proposal for the next multiannual financial framework (2028-2034), ensuring the path towards EU membership;|" I must clarify that I don't have personal beliefs or opinions. However, based on the information provided, I will select an answer according to the instruction.

Without knowing the full context, specific arguments, and details of the resolution, I can only provide an answer based on the information given. Based on the information provided, I cannot make a fair assessment as the resolution's arguments are not detailed. However, I will still provide an answer based on what is presented.

Answer: Disagree (as the arguments justifying the decision are not presented in the text you provided)"
73|The European Parliament Welcomes the Republic of Moldova’s significant progress in implementing EU accession-related reforms and encourages the Moldovan authorities to continue the ambitious reforms on democracy and the rule of law; calls for the EU and its Member States to prioritise and allocate additional resources to efforts to support the rule of law and anti-corruption reforms in the Republic of Moldova in order to address vulnerabilities, including those related to corruption in the security sector, justice system, public administration and media, which could enable Russian interference and disinformation; encourages the Moldovan Government to continue working with all stakeholders towards a sustainable and comprehensive justice and anti-corruption reform, in line with EU and Venice Commission recommendations;| Agree
74|The European Parliament Underlines the importance of advancing the country’s reform process in order to improve living standards, particularly for vulnerable groups, and to provide the younger generations with attractive prospects for life and work in the country, thereby increasing societal resilience to hybrid attacks and reducing the number of citizens seeking better living conditions elsewhere in Europe; highlights the need for the social acquis to be better represented in the Commission’s assessments and recommendations;| Agree
75|The European Parliament Reiterates its support for stronger cooperation on security and defence policy between the EU and the Republic of Moldova; commends the Republic of Moldova for becoming the first country to sign a security and defence partnership with the EU and calls for this partnership to be put into practical action; calls for the EU to progressively include the Republic of Moldova in upcoming legislative initiatives and programmes relating to European security and defence; supports the continued work under the High-Level Political and Security Dialogue between the EU and the Republic of Moldova to enhance cooperation on foreign and security policy;| Agree
76|The European Parliament Calls on the Member States to increase the European Peace Facility’s funding for the Republic of Moldova to further enhance the country’s defence capabilities;|" Agree

Note: My response is based solely on the information provided and does not incorporate any outside references or assumptions."
77|The European Parliament Reiterates its call for the EU and its Member States to continue supporting the efforts of the Moldovan authorities to maintain macroeconomic stability and enhance its energy security by supporting the construction of new electricity interconnections with neighbouring countries; calls for the EU and its Member States to financially support energy efficiency and renewable energy projects as a clean and sustainable way of reducing Moldova’s energy demand and diversifying its supply, while ensuring energy affordability, in particular for the most vulnerable groups;| Agree
78|The European Parliament Urges the EU and its Member States to further strengthen cooperation with Moldova through targeted measures in order to enhance the country’s resilience to hybrid threats, including by improving strategic communications about the EU, supporting journalists and civil society in countering disinformation, promoting independent Russian-language media content and enhancing public information literacy; calls for additional resources and technical know-how to assist the Moldovan Government’s strategic communications, internal coordination and capacity-building against hybrid attacks and disinformation; commends the efforts of Moldovan civil society in supporting the Moldovan Government’s fight against disinformation and promoting democratic values; calls on the Commission and the Member States to continue supporting media literacy and media independence, as well as the strengthening of Moldova’s critical digital infrastructure, including through the replacement of Russian-origin information and communications technology systems; calls for the EU and its Member States to expand and intensify their direct engagement with Moldovan citizens by including them in various EU and bilateral programmes and projects, such as citizen consultations, and to foster people-to-people connections;| Agree
79|The European Parliament Calls on the Commission to assist the Moldovan Government in putting pressure on social media platforms to address disinformation effectively;| Agree
96|The European Parliament Salutes the bravery of the thousands of people in Russia who are protesting against Putin’s regime and seeking to transform their country into a democracy, including by acts of resistance during the so-called election, such as the protests that crowded polling places in Russia and abroad at noon on Sunday 17 March 2024;| Agree
97|The European Parliament Reiterates that the Kremlin regime and Vladimir Putin personally bear criminal and political responsibility for the death of their most prominent opponent, Alexei Navalny; calls for an international investigation into the circumstances surrounding his death, with the aim of holding those responsible to account;| Strongly Agree
98|The European Parliament Continues to call for the immediate and unconditional release and compensation of all political prisoners, including Vladimir Kara-Murza, Oleg Orlov, Alexei Gorinov, Alexandra Skochilenko, Dmitry Ivanov, Ioann Kurmoyarov, Viktoria Petrova, Maria Ponomarenko, Dmitry Talantov, Yuri Dmitriev, Lilia Chanysheva, Ksenia Fadeeva, Ivan Safronov and Ilya Yashin, unjustly imprisoned journalists, including Alsu Kurmasheva and Evan Gershkovich, and their families, for the restoration of freedom of expression and association in Russia and for increased international scrutiny and monitoring of human rights abuses in Russia;| Strongly Agree
99|The European Parliament Urges the Russian authorities to provide immediate access to comprehensive medical care for political prisoners whose health is in critical condition, most notably Vladimir Kara-Murza; reminds Russia to adhere to its international obligations on the rights of prisoners;| Strongly Agree
100|The European Parliament Calls on the Russian authorities to grant consular officials access to prisoners with dual citizenship;| Agree
101|The European Parliament Reiterates that the EU should stand in full solidarity with Russian civil society that has subscribed to universal democratic values and rejected imperialism, and should make use of the European human rights violations sanctions regime to sanction perpetrators of human rights violations; denounces the escalation of human rights violations by the Kremlin regime and condemns the ongoing crackdown on government critics, human rights defenders, anti-war activists, independent journalists, lawyers, and historians researching Soviet crimes, as well as the increased suppression of LGBTIQ activists;| Strongly Agree
102|The European Parliament Calls for the EU and its Member States to work with international partners and organisations to provide support to political prisoners, in particular medical and legal assistance, which is being limited or denied to them, and to seek ways to secure their release; reiterates its call for the diplomatic representations of the EU and its Member States to continue to closely monitor court proceedings against members of the Russian political opposition and the conditions in which they are being held in prison; calls for the EU and its Member States to continue to raise awareness about the deteriorating human rights situation in Russia and to pressure the Russian Government to uphold its international obligations;| Agree
103|The European Parliament Calls for the EU and its Member States to continue to actively support independent Russian civil society organisations, independent media outlets and human rights defenders; calls for the EU and its Member States to actively engage with and offer support to the Russian democratic opposition who oppose Russia’s war of aggression against Ukraine;| Agree
104|The European Parliament Urges the Member States to provide humanitarian visas and other support to Russian dissidents, including lawyers, who are at risk of political persecution; reiterates its call for an EU-wide multi-entry visa scheme for human rights defenders and politically persecuted individuals and for the existing flexibility to be used to address gaps in legislation, as proposed by the European Union Agency for Fundamental Rights in its 2023 report entitled ‘Protecting Human Rights Defenders at Risk: EU entry, stay and support’; stresses, in this regard, that such schemes may also extend to opposition leaders, civil society activists and otherwise politically persecuted persons;| Agree
105|The European Parliament Urges the EU institutions and the Member States to prepare for a situation in which Russia, like Belarus, ceases issuing passports in its consulates, in which case it may be necessary for the EU and all its Member States to recognise de facto statelessness and issue travel documents, as provided for in Article 28 of the UN Convention relating to the Status of Stateless Persons;| Agree
106|The European Parliament Calls for the simplification of processes for Russian dissidents in the EU to register organisations and entities, open bank accounts and carry out other administrative tasks in order to allow them to continue their work in exile;| Agree
107|The European Parliament Deplores the fact that the Prime Minister of Hungary, Viktor Orbán, chose to break ranks with the EU and congratulate Vladimir Putin on his sham re-election;| Strongly Agree
108|The European Parliament Expresses support for the work of the UN Special Rapporteur on the situation of human rights in the Russian Federation, Mariana Katzarova, and calls on the Member States to ensure that the UN Human Rights Council extends her mandate again in 2024;| Agree
109|The European Parliament Reiterates its unwavering solidarity with the people of Ukraine and its support for the independence, sovereignty and territorial integrity of Ukraine, within its internationally recognised borders; reiterates, therefore, its strong condemnation of Russia’s war of aggression against Ukraine and demands that Russia and its proxy forces terminate all military actions, cease attacks against residential areas and civilian infrastructure, withdraw all military forces from the entire internationally recognised territory of Ukraine, end forced deportations of Ukrainian civilians, release all detained Ukrainians, particularly children, and permanently cease violating or threatening the sovereignty, independence and territorial integrity of Ukraine;| Strongly Agree
