document_identifier,document_title,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_language,document_pdf,document_doc,document_corrigenda_pdf,document_corrigenda_doc,document_subject_matter,document_directory_code,document_adopts,document_procedure,document_ep_number,document_URI
TA-9-2023-0034,"EU/Guyana Voluntary Partnership Agreement: forest law enforcement, governance and trade in timber products to the EU",EP text adopted,9,2023-02-14,P9_TA(2023)0034,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0034/TA-9-2023-0034-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0034/TA-9-2023-0034-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EXT; http://publications.europa.eu/resource/authority/subject-matter/SILV; http://publications.europa.eu/resource/authority/subject-matter/PCOM,http://publications.europa.eu/resource/authority/dir-eu-legal-act/114050; http://publications.europa.eu/resource/authority/dir-eu-legal-act/116030; http://publications.europa.eu/resource/authority/dir-eu-legal-act/033060,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0008,https://data.europarl.europa.eu/eli/dl/proc/2022-0142M; https://data.europarl.europa.eu/eli/dl/proc/2022-0142,PE736.503,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0034
TA-9-2023-0051,The recent deterioration of the inhuman imprisonment conditions of Alexey Navalny and other political prisoners in Russia,EP text adopted,9,2023-02-16,P9_TA(2023)0051,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0051/TA-9-2023-0051-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0051/TA-9-2023-0051-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0133; https://data.europarl.europa.eu/eli/dl/doc/RC-9-2023-0133; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0143; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0135; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0142; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0141,https://data.europarl.europa.eu/eli/dl/proc/2023-2553,PE741.462,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0051
TA-9-2023-0031,Setting up a subcommittee on public health,EP text adopted,9,2023-02-14,P9_TA(2023)0031,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0031/TA-9-2023-0031-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0031/TA-9-2023-0031-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/INST,http://publications.europa.eu/resource/authority/dir-eu-legal-act/014020,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0120,https://data.europarl.europa.eu/eli/dl/proc/2023-2565,PE741.449,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0031
TA-9-2023-0087,Request for waiver of the immunity of Anna Júlia Donáth,EP text adopted,9,2023-03-30,P9_TA(2023)0087,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0087/TA-9-2023-0087-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0087/TA-9-2023-0087-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PRIV,http://publications.europa.eu/resource/authority/dir-eu-legal-act/014020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0071,https://data.europarl.europa.eu/eli/dl/proc/2022-2208,PE742.383,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0087
TA-9-2023-0066,"Land use, land use change and forestry (LULUCF)",EP text adopted,9,2023-03-14,P9_TA(2023)0066,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0066/TA-9-2023-0066-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0066/TA-9-2023-0066-FNL_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0161,https://data.europarl.europa.eu/eli/dl/proc/2021-0201,PE699.175,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0066
TA-9-2023-0048,The EU priorities for the 67th session of the UN Commission on the Status of Women,EP text adopted,9,2023-02-15,P9_TA(2023)0048,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0048/TA-9-2023-0048-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0048/TA-9-2023-0048-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EFPJ; http://publications.europa.eu/resource/authority/subject-matter/SOPO,http://publications.europa.eu/resource/authority/dir-eu-legal-act/1630; http://publications.europa.eu/resource/authority/dir-eu-legal-act/05200520,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0100,https://data.europarl.europa.eu/eli/dl/proc/2022-2839,PE740.699,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0048
TA-9-2023-0058,Developing an EU Cycling Strategy,EP text adopted,9,2023-02-16,P9_TA(2023)0058,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0058/TA-9-2023-0058-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0058/TA-9-2023-0058-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/TRAN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/0720; http://publications.europa.eu/resource/authority/dir-eu-legal-act/0710,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0102,https://data.europarl.europa.eu/eli/dl/proc/2022-2909,PE738.382,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0058
TA-9-2023-0041,EU/North Macedonia Agreement: operational activities carried out by the European Border and Coast Guard Agency in the Republic of North Macedonia,EP text adopted,9,2023-02-15,P9_TA(2023)0041,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0041/TA-9-2023-0041-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0041/TA-9-2023-0041-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/INST; http://publications.europa.eu/resource/authority/subject-matter/EXT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/191020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/0140,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0027,https://data.europarl.europa.eu/eli/dl/proc/2022-0301,PE740.734,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0041
TA-9-2023-0059,Availability of fertilisers in the EU,EP text adopted,9,2023-02-16,P9_TA(2023)0059,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0059/TA-9-2023-0059-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0059/TA-9-2023-0059-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/STRA,http://publications.europa.eu/resource/authority/dir-eu-legal-act/133019; http://publications.europa.eu/resource/authority/dir-eu-legal-act/031020,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0101,https://data.europarl.europa.eu/eli/dl/proc/2022-2982,PE739.668,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0059
TA-9-2023-0094,2022 Rule of Law Report - The Rule of Law situation in the European Union,EP text adopted,9,2023-03-30,P9_TA(2023)0094,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0094/TA-9-2023-0094-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0094/TA-9-2023-0094-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PRIN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/0110,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0189,https://data.europarl.europa.eu/eli/dl/proc/2022-2898,PE738.724,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0094
TA-9-2023-0002,Convention on Cybercrime: Second Additional Protocol on enhanced co-operation and disclosure of electronic evidence,EP text adopted,9,2023-01-17,P9_TA(2023)0002,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0002/TA-9-2023-0002-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0002/TA-9-2023-0002-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/COJP; http://publications.europa.eu/resource/authority/subject-matter/EXT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/193020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/113070,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0002,https://data.europarl.europa.eu/eli/dl/proc/2021-0383,PE740.540,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0002
TA-9-2023-0005,Amendments to Parliament’s Rules of Procedure concerning Rule 7 on defence of privileges and immunity and Rule 9 on procedures on immunity,EP text adopted,9,2023-01-17,P9_TA(2023)0005,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0005/TA-9-2023-0005-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0005/TA-9-2023-0005-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PRIV,http://publications.europa.eu/resource/authority/dir-eu-legal-act/014020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0001,https://data.europarl.europa.eu/eli/dl/proc/2022-2210,PE740.536,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0005
TA-9-2023-0083,Iran: in particular the poisoning of hundreds of schoolgirls,EP text adopted,9,2023-03-16,P9_TA(2023)0083,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0083/TA-9-2023-0083-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0083/TA-9-2023-0083-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/RC-9-2023-0170; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0177; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0180; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0172; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0170; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0175; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0181,https://data.europarl.europa.eu/eli/dl/proc/2023-2587,PE744.086,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0083
TA-9-2023-0010,Implementation of the common security and defence policy - annual report 2022,EP text adopted,9,2023-01-18,P9_TA(2023)0010,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0010/TA-9-2023-0010-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0010/TA-9-2023-0010-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0296,https://data.europarl.europa.eu/eli/dl/proc/2022-2050,PE734.095,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0010
TA-9-2023-0028,Revision of the European Works Councils Directive,EP text adopted,9,2023-02-02,P9_TA(2023)0028,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0028/TA-9-2023-0028-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0028/TA-9-2023-0028-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/SOCI; http://publications.europa.eu/resource/authority/subject-matter/RAPL; http://publications.europa.eu/resource/authority/subject-matter/c_f3f2224d,http://publications.europa.eu/resource/authority/dir-eu-legal-act/052020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/05203020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0295,https://data.europarl.europa.eu/eli/dl/proc/2019-2183,PE730.043,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0028
TA-9-2023-0080,Implementation report on the Agreement on the withdrawal of the UK from the EU,EP text adopted,9,2023-03-15,P9_TA(2023)0080,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0080/TA-9-2023-0080-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0080/TA-9-2023-0080-FNL_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0052,https://data.europarl.europa.eu/eli/dl/proc/2020-2202,PE730.187,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0080
TA-9-2023-0042,Authorising Poland to ratify the amendment to the Convention on the Conservation and Management of Pollock Resources in the Central Bering Sea,EP text adopted,9,2023-02-15,P9_TA(2023)0042,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0042/TA-9-2023-0042-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0042/TA-9-2023-0042-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EXT; http://publications.europa.eu/resource/authority/subject-matter/PECH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/042010,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0007,https://data.europarl.europa.eu/eli/dl/proc/2022-0177,PE737.176,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0042
TA-9-2023-0008,Consumer protection in online video games: a European single market approach,EP text adopted,9,2023-01-18,P9_TA(2023)0008,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0008/TA-9-2023-0008-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0008/TA-9-2023-0008-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/MARI; http://publications.europa.eu/resource/authority/subject-matter/PROT; http://publications.europa.eu/resource/authority/subject-matter/INFQ,http://publications.europa.eu/resource/authority/dir-eu-legal-act/132060; http://publications.europa.eu/resource/authority/dir-eu-legal-act/152040; http://publications.europa.eu/resource/authority/dir-eu-legal-act/152020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0300,https://data.europarl.europa.eu/eli/dl/proc/2022-2014,PE719.799,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0008
TA-9-2023-0086,The EU Guidelines on Human Rights Defenders,EP text adopted,9,2023-03-16,P9_TA(2023)0086,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0086/TA-9-2023-0086-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0086/TA-9-2023-0086-FNL_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0034,https://data.europarl.europa.eu/eli/dl/proc/2021-2204,PE736.464,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0086
TA-9-2023-0017,Control of the financial activities of the European Investment Bank - annual report 2021 ,EP text adopted,9,2023-01-19,P9_TA(2023)0017,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0017/TA-9-2023-0017-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0017/TA-9-2023-0017-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/BEI; http://publications.europa.eu/resource/authority/subject-matter/FIN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/014080,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0294,https://data.europarl.europa.eu/eli/dl/proc/2022-2153,PE737.340,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0017
TA-9-2023-0090,General Product Safety Regulation,EP text adopted,9,2023-03-30,P9_TA(2023)0090,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0090/TA-9-2023-0090-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0090/TA-9-2023-0090-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/MARI; http://publications.europa.eu/resource/authority/subject-matter/PROT; http://publications.europa.eu/resource/authority/subject-matter/RAPL,http://publications.europa.eu/resource/authority/dir-eu-legal-act/152030,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0191,https://data.europarl.europa.eu/eli/dl/proc/2021-0170,PE702.956,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0090
TA-9-2023-0025,European system of national and regional accounts in the European Union (ESA 2010),EP text adopted,9,2023-02-02,P9_TA(2023)0025,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0025/TA-9-2023-0025-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0025/TA-9-2023-0025-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/INFO; http://publications.europa.eu/resource/authority/subject-matter/UEM,http://publications.europa.eu/resource/authority/dir-eu-legal-act/103030,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0202,https://data.europarl.europa.eu/eli/dl/proc/2021-0407,PE731.555,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0025
TA-9-2023-0054,Following up on measures requested by Parliament to strengthen the integrity of European institutions,EP text adopted,9,2023-02-16,P9_TA(2023)0054,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0054/TA-9-2023-0054-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0054/TA-9-2023-0054-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/INST,http://publications.europa.eu/resource/authority/dir-eu-legal-act/0140,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0153; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0147; https://data.europarl.europa.eu/eli/dl/doc/RC-9-2023-0147; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0152; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0150; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0154,https://data.europarl.europa.eu/eli/dl/proc/2023-2571,PE744.054,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0054
