document_identifier,document_title,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_language,document_pdf,document_doc,document_corrigenda_pdf,document_corrigenda_doc,document_subject_matter,document_directory_code,document_adopts,document_procedure,document_ep_number,document_URI
TA-10-2024-0008,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the “Promotion of Virtue and Prevention of Vice”,EP text adopted,10,2024-09-19,P10_TA(2024)0008,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0008_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0050; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0024; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0038; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0048; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0047; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0045,https://data.europarl.europa.eu/eli/dl/proc/2024-2803,PE762.608,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0008
TA-10-2024-0010,The case of José Daniel Ferrer García in Cuba,EP text adopted,10,2024-09-19,P10_TA(2024)0010,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0010_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0022; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0049; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0043,https://data.europarl.europa.eu/eli/dl/proc/2024-2805,PE762.606,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0010
TA-10-2024-0015,"Mobilisation of the European Union Solidarity Fund: assistance to Italy, Slovenia, Austria, Greece and France further to natural disasters occurred in 2023",EP text adopted,10,2024-10-08,P10_TA(2024)0015,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0015_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PREG; http://publications.europa.eu/resource/authority/subject-matter/FIN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/14; http://publications.europa.eu/resource/authority/dir-eu-legal-act/144020,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0002,https://data.europarl.europa.eu/eli/dl/proc/2024-0212,PE763.077,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0015
TA-10-2024-0036,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia,EP text adopted,10,2024-11-14,P10_TA(2024)0036,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0036_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0162; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0166; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0163; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0161; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0164,https://data.europarl.europa.eu/eli/dl/proc/2024-2885,PE764.162,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0036
TA-10-2024-0035,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29)",EP text adopted,10,2024-11-14,P10_TA(2024)0035,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0035_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/ENV,http://publications.europa.eu/resource/authority/dir-eu-legal-act/113060,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0156,https://data.europarl.europa.eu/eli/dl/proc/2024-2718,PE762.921,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0035
TA-10-2024-0030,Misinterpretation of UN resolution 2758 by the People's Republic of China and its continuous military provocations around Taiwan,EP text adopted,10,2024-10-24,P10_TA(2024)0030,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0030_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/EXT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0134; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0140; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0138; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0135; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0137,https://data.europarl.europa.eu/eli/dl/proc/2024-2891,PE764.114,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0030
TA-10-2024-0020,"Iraq, notably the situation of women’s rights and the recent proposal to amend the Personal Status Law",EP text adopted,10,2024-10-10,P10_TA(2024)0020,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0020_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/DDLH; http://publications.europa.eu/resource/authority/subject-matter/PESC,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0094; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0092; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0093; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0089; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0091,https://data.europarl.europa.eu/eli/dl/proc/2024-2858,PE764.107,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0020
TA-10-2024-0028,Urgent need to revise the medical devices regulation,EP text adopted,10,2024-10-23,P10_TA(2024)0028,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0028_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/SANI; http://publications.europa.eu/resource/authority/subject-matter/MARI; http://publications.europa.eu/resource/authority/subject-matter/RDT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/1610; http://publications.europa.eu/resource/authority/dir-eu-legal-act/1530,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0126; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0128; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0125; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0124; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0123,https://data.europarl.europa.eu/eli/dl/proc/2024-2849,PE764.132,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0028
TA-10-2024-0024,Draft amending budget No 4/2024: update of revenue (own resources) and adjustments to some decentralised agencies,EP text adopted,10,2024-10-22,P10_TA(2024)0024,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0024_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0007,https://data.europarl.europa.eu/eli/dl/proc/2024-0185,PE763.032,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0024
TA-10-2024-0023,Draft amending budget No 2/2024: entering the surplus of the financial year 2023,EP text adopted,10,2024-10-22,P10_TA(2024)0023,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0023_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/BUDG,http://publications.europa.eu/resource/authority/dir-eu-legal-act/016020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/0160,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0005,https://data.europarl.europa.eu/eli/dl/proc/2024-0089,PE763.033,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0023
TA-10-2024-0027,Guidelines for the employment policies of the Member States,EP text adopted,10,2024-10-23,P10_TA(2024)0027,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0027_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EMPL,http://publications.europa.eu/resource/authority/dir-eu-legal-act/052030,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0004,https://data.europarl.europa.eu/eli/dl/proc/2024-0599,PE763.150,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0027
TA-10-2024-0021,Establishing the Ukraine Loan Cooperation Mechanism and providing exceptional macro-financial assistance to Ukraine,EP text adopted,10,2024-10-22,P10_TA(2024)0021,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0021_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/ASSI; http://publications.europa.eu/resource/authority/subject-matter/EXT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/115020,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0006,https://data.europarl.europa.eu/eli/dl/proc/2024-0234,PE765.025,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0021
TA-10-2024-0025,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2024/001 BE/Match-Smatch,EP text adopted,10,2024-10-22,P10_TA(2024)0025,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0025_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EMPL,http://publications.europa.eu/resource/authority/dir-eu-legal-act/052030,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0009,https://data.europarl.europa.eu/eli/dl/proc/2024-0226,PE763.160,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0025
TA-10-2024-0026,Discharge 2022: EU general budget – European Council and Council,EP text adopted,10,2024-10-22,P10_TA(2024)0026,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0026_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0003,https://data.europarl.europa.eu/eli/dl/proc/2023-2131,PE761.252,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0026
TA-10-2024-0018,The case of Bülent Mumay in Türkiye,EP text adopted,10,2024-10-10,P10_TA(2024)0018,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0018_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,,https://data.europarl.europa.eu/eli/dl/proc/2024-2856,PE764.113,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0018
TA-9-2024-0035,Activities of the European Ombudsman – annual report 2022,EP text adopted,9,2024-01-17,P9_TA(2024)0035,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0035_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/INST,http://publications.europa.eu/resource/authority/dir-eu-legal-act/014010,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0414,,PE751.674,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0035
TA-9-2024-0030,European historical consciousness,EP text adopted,9,2024-01-17,P9_TA(2024)0030,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0030_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/CULT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/1640,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0402,,PE752.701,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0030
TA-9-2024-0041,Protection of the European Union’s financial interests - combating fraud - annual report 2022,EP text adopted,9,2024-01-18,P9_TA(2024)0041,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0041_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/FIN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/016060,,,PE753.468,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0041
TA-9-2024-0005,Exceptional trade measures for countries and territories participating in or linked to the Stabilisation and Association process,EP text adopted,9,2024-01-16,P9_TA(2024)0005,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0005_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/ASSO; http://publications.europa.eu/resource/authority/subject-matter/PCOM,http://publications.europa.eu/resource/authority/dir-eu-legal-act/11603010,https://data.europarl.europa.eu/eli/dl/doc/A-9-2024-0001,,PE756.245,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0005
TA-9-2024-0008,Implementation of the Creative Europe programme 2021-2027,EP text adopted,9,2024-01-16,P9_TA(2024)0008,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0008_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/CULT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/1640,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0425,,PE750.020,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0008
TA-9-2024-0006,Debt-equity bias reduction allowance and limiting the deductibility of interest for corporate income tax purposes,EP text adopted,9,2024-01-16,P9_TA(2024)0006,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0006_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/FISC,http://publications.europa.eu/resource/authority/dir-eu-legal-act/092020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0387,,PE738.463,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0006
TA-9-2024-0007,Implementation of the Erasmus+ programme 2021-2027,EP text adopted,9,2024-01-16,P9_TA(2024)0007,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0007_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EFPJ,http://publications.europa.eu/resource/authority/dir-eu-legal-act/1630,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0413,,PE752.792,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0007
TA-9-2024-0017,EC/Indonesia Framework Agreement on Comprehensive Partnership and Cooperation: accession of Croatia to the EU,EP text adopted,9,2024-01-17,P9_TA(2024)0017,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0017_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EXT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/114060,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0428,,PE754.733,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0017
TA-9-2024-0021,Planned dissolution of key anti-corruption structures in Slovakia and its implications on the Rule of Law,EP text adopted,9,2024-01-17,P9_TA(2024)0021,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0021_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PRIN; http://publications.europa.eu/resource/authority/subject-matter/DFON,http://publications.europa.eu/resource/authority/dir-eu-legal-act/0110,https://data.europarl.europa.eu/eli/dl/doc/B-9-2024-0062,,PE756.747,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0021
TA-9-2024-0026,Implementation of the EU-Canada Comprehensive Economic and Trade Agreement (CETA),EP text adopted,9,2024-01-17,P9_TA(2024)0026,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0026_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EXT; http://publications.europa.eu/resource/authority/subject-matter/PCOM,http://publications.europa.eu/resource/authority/dir-eu-legal-act/116030; http://publications.europa.eu/resource/authority/dir-eu-legal-act/1140,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0400,,PE753.671,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0026
TA-9-2024-0024,Implementation of the Treaty provisions on EU citizenship,EP text adopted,9,2024-01-17,P9_TA(2024)0024,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0024_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/CIT; http://publications.europa.eu/resource/authority/subject-matter/PRIN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/2020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/0110,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0436,,PE754.647,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0024
TA-9-2024-0028,Security and defence implications of China's influence on critical infrastructure in the European Union,EP text adopted,9,2024-01-17,P9_TA(2024)0028,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0028_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0401,,PE750.176,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0028
TA-9-2024-0032,"Virtual worlds – opportunities, risks and policy implications for the single market",EP text adopted,9,2024-01-17,P9_TA(2024)0032,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0032_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/TECN; http://publications.europa.eu/resource/authority/subject-matter/IDST,http://publications.europa.eu/resource/authority/dir-eu-legal-act/131030,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0397,,PE751.902,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0032
TA-9-2024-0016,Objection to an implementing act: Maximum residue levels for thiacloprid,EP text adopted,9,2024-01-17,P9_TA(2024)0016,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0016_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/D-AL; http://publications.europa.eu/resource/authority/subject-matter/PHYT; http://publications.europa.eu/resource/authority/subject-matter/SANT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/133014; http://publications.europa.eu/resource/authority/dir-eu-legal-act/035020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/1530,https://data.europarl.europa.eu/eli/dl/doc/B-9-2024-0057,,PE757.277,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0016
TA-9-2024-0023,Implementation of the Treaty provisions on national parliaments,EP text adopted,9,2024-01-17,P9_TA(2024)0023,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0023_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/ACTE; http://publications.europa.eu/resource/authority/subject-matter/INST,http://publications.europa.eu/resource/authority/dir-eu-legal-act/0130; http://publications.europa.eu/resource/authority/dir-eu-legal-act/014020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0429,,PE752.837,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0023
TA-9-2024-0025,Building a comprehensive European port strategy,EP text adopted,9,2024-01-17,P9_TA(2024)0025,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0025_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/TRAN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/0710,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0443,,PE750.225,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0025
TA-9-2024-0027,EU strategy on Central Asia,EP text adopted,9,2024-01-17,P9_TA(2024)0027,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0027_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/EXT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0407,,PE752.889,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0027
TA-9-2024-0002,Fluorinated gases regulation,EP text adopted,9,2024-01-16,P9_TA(2024)0002,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0002_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/ENV,http://publications.europa.eu/resource/authority/dir-eu-legal-act/151020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0048,,PE737.211,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0002
TA-9-2024-0013,Role of the European Parliament and its parliamentary diplomacy in the EU’s foreign and security policy,EP text adopted,9,2024-01-16,P9_TA(2024)0013,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0013_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0405,,PE753.617,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0013
TA-9-2024-0001,Ozone depleting substances,EP text adopted,9,2024-01-16,P9_TA(2024)0001,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0001_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/ENV,http://publications.europa.eu/resource/authority/dir-eu-legal-act/151020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0050,,PE737.214,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0001
TA-9-2024-0019,"Mercury: dental amalgam and other mercury-added products subject to manufacturing, import and export restrictions",EP text adopted,9,2024-01-17,P9_TA(2024)0019,English,,https://data.europarl.europa.eu/distribution/doc/TA-9-2024-0019_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/SANT; http://publications.europa.eu/resource/authority/subject-matter/ENV,http://publications.europa.eu/resource/authority/dir-eu-legal-act/1530; http://publications.europa.eu/resource/authority/dir-eu-legal-act/15102050,https://data.europarl.europa.eu/eli/dl/doc/A-9-2024-0002,,PE753.554,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2024-0019
